"","jurisdiction","year","state_population","murder_index","rape_index","robbery_index","agg_assault_index","total_violent_index","burglary_index","larceny_index","vehicle_theft_index","property_crime_index","crime_rate"
"44","TEXAS",2001,21370983,6.23275026703264,38.2247274259682,165.401844173476,361.733477585004,571.592799451481,956.259241795289,3133.33738555686,480.403732481562,4570.00035983371,5141.59315928519
"45","UTAH",2001,2278712,2.94025747878626,39.3204582237685,52.5296746583157,138.411523702864,233.201914063734,605.780809509934,3101.57668015967,285.819357602014,3993.17684727162,4226.37876133535
"46","VERMONT",2001,612978,1.14196594331281,17.4557651334958,17.4557651334958,69.0073705744741,105.060866784779,513.884674490765,2027.15268737214,123.658597861587,2664.69595972449,2769.75682650927
"47","VIRGINIA",2001,7196750,5.05783860770487,24.5944349880154,95.3208045298225,165.977698266579,290.950776392121,439.142668565672,2182.37398825859,261.812623753778,2883.32928057804,3174.28005697016
"48","WASHINGTON",2001,5993390,2.98662359699602,43.3811248725679,99.0090749976224,209.31392751014,354.690750977327,884.70798663194,3255.80347683031,652.001621786668,4792.51308524892,5147.20383622624
"49","WEST VIRGINIA",2001,1800975,2.22101917017171,17.7681533613737,39.256513832785,220.325101681034,279.570788045364,533.100126320465,1569.59424756035,178.569941281806,2281.26431516262,2560.83510320798
"50","WISCONSIN",2001,5405947,3.55164414301509,21.1248833923085,82.2057633935368,124.08556724659,230.96785817545,498.099592911288,2317.35531258446,272.329713924313,3087.78461942006,3318.75247759551
"51","WYOMING",2001,493754,1.82277004338193,30.9870907374928,17.012520404898,207.79578494554,257.618166131312,502.476941958951,2621.34585238803,140.960883354869,3264.78367770185,3522.40184383316
"52","FEDERAL",2002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53","ALABAMA",2002,4478896,6.76505996120473,37.1520124602134,133.113160028721,267.967820641515,444.998053091655,950.636049597937,2767.02115878556,310.121065548296,4027.77827393179,4472.77632702344
"54","ALASKA",2002,641482,5.14433764314509,79.6592889590043,76.2297305302409,404.376116555102,565.409473687492,609.21428816397,2765.31531671972,385.201767157925,3759.73137204162,4325.14084572911
"55","ARIZONA",2002,5441125,7.11249971283512,29.5527119851134,147.028417836385,370.805669783363,554.499299317696,1085.93351558731,3704.03179489536,1059.85434997358,5849.81966045625,6404.31895977394
"56","ARKANSAS",2002,2706268,5.24707826423695,27.8612465579906,93.2649685840427,298.603094741541,424.976388147811,858.340711267325,2628.30584406275,251.748902917228,3738.3954582473,4163.37184639511
"57","CALIFORNIA",2002,35001986,6.84246888162289,29.1354896262172,185.612324969217,373.770219781243,595.360503258301,681.184204804836,2044.71826255802,635.289666134944,3361.1921334978,3956.5526367561
"58","COLORADO",2002,4501051,3.97684896260896,45.900390819833,79.5147622188684,223.458921038664,352.850923039974,703.791181215232,2781.41705126203,515.057483241136,4000.2657157184,4353.11663875837
"59","CONNECTICUT",2002,3458587,2.42873751621688,21.3960209761963,117.64920182722,170.994686558412,312.468646878046,494.739614761751,1871.71813228928,334.818814735613,2701.27656178665,3013.74520866469
"60","DELAWARE",2002,805945,3.22602658990378,44.4199045840597,143.185949413421,409.209065134718,600.040945722103,664.437399574413,2302.26628367941,379.306280205225,3346.00996345905,3946.05090918115
"61","FLORIDA",2002,16691701,5.457802053847,40.4572308118867,195.192808689779,530.05981834925,771.167659904763,1061.85702703397,3064.26528967898,530.299458395522,4656.42177510848,5427.58943501324
"62","GEORGIA",2002,8544005,7.09269247852734,24.6722702058344,157.209645827689,270.657613145123,459.632221657174,865.308482380336,2745.67957298714,445.177642101099,4056.16569746858,4515.79791912575
"63","HAWAII",2002,1240663,1.93444956446674,29.9839682492345,97.5284988751982,133.477019948205,262.923936637105,1025.41947329774,3977.22830454362,798.766465994392,5801.41424383576,6064.33818047286
"64","IDAHO",2002,1343124,2.68031842182851,37.0032848791325,17.8687894788568,197.003404004396,254.555796784214,554.006927134055,2163.61259273157,195.588791503986,2913.20831136961,3167.76410815383
"65","ILLINOIS",2002,12586447,7.63519681130028,34.7198856039357,201.121094777581,358.433162273674,601.909339466491,647.045190751608,2417.09991707747,356.033755991663,3420.17886382074,4022.08820328723
"66","INDIANA",2002,6156913,5.87956984287418,29.9338321005998,107.391480113492,214.133284001252,357.338166058218,691.986389932747,2372.50388303359,329.499539785604,3393.98981275194,3751.32797881016
"67","IOWA",2002,2935840,1.49871927625484,27.1472559812524,39.8182462259524,217.246171453485,285.710392936945,635.014169709521,2330.20191836067,198.341871491634,3163.55795956183,3449.26835249877
"68","KANSAS",2002,2711769,2.87635119363043,38.1669677616346,79.8371837719216,256.327142909296,377.207645636483,725.688655634016,2724.31021963891,265.951856518752,3715.95073179168,4093.15837742817
"69","KENTUCKY",2002,4089822,4.6701298980738,26.5781738178336,76.5558990097858,163.625703025706,271.429905751399,657.510277953417,1769.71027100935,227.907229214377,2655.12777817714,2926.55768392854
"70","LOUISIANA",2002,4476192,13.2478678305131,34.1584990098727,159.130796891644,456.749844510691,663.287008242721,1013.13795297431,2978.02239046046,450.963676267685,4442.12401970246,5105.41102794518
"71","MAINE",2002,1294894,1.08116957835931,29.1143522172471,20.8511275826438,56.7614028638638,107.808052242114,537.881865233757,1899.07436438813,110.356523391104,2547.31275301299,2655.1208052551
"72","MARYLAND",2002,5450525,9.41193738217878,25.135193398801,246.159773599791,490.13627127662,770.843175657391,729.562748542572,2629.47147293151,624.160057976067,3983.19427945014,4754.03745510754
"73","MASSACHUSETTS",2002,6421800,2.6939487371142,27.6713693979881,111.63536703105,342.86337164035,484.864056806503,517.658600392413,1680.55685321872,414.027219782615,2612.24267339375,3097.10673020026
"74","MICHIGAN",2002,10043221,6.75082227106224,53.4091602684039,117.960164373561,362.602794462056,540.722941375083,706.645806161191,2134.44471649085,495.090170772902,3336.18069342495,3876.90363480003
"75","MINNESOTA",2002,5024791,2.22894842790476,45.2357122913172,78.3515175059022,141.418817220458,267.234995445582,557.913752034662,2430.94687918363,275.47414409873,3264.33477531702,3531.56977076261
"76","MISSISSIPPI",2002,2866733,9.20908923153987,39.3130438028236,117.067058564575,178.286572206062,343.875763805,1032.29006677636,2458.12916654603,332.189987696796,3822.60922101919,4166.48498482419
"77","MISSOURI",2002,5669544,5.83821203257264,25.8398206275496,123.890034189698,383.399440942693,538.967507792514,753.517390463854,2820.70304066782,491.715030344592,4065.93546147627,4604.90296926878
"78","MONTANA",2002,910372,1.75752329816822,26.0333138541168,31.0861933363504,292.298093526602,351.175124015238,361.280882979705,2601.02463608283,195.854002539621,3158.15952160216,3509.3346456174
"79","NEBRASKA",2002,1727564,2.77847882914902,26.8586286817739,78.6656818502817,205.896858235064,314.199647596269,597.893913047505,2977.60314523803,370.984808667002,3946.48186695254,4260.68151454881
"80","NEVADA",2002,2167455,8.35080774456678,42.8151910881656,236.129469815982,351.979625874586,639.2750945233,874.343411973951,2189.6187002729,806.752620008259,3870.71473225511,4509.98982677841
"81","NEW HAMPSHIRE",2002,1274405,0.941615891337526,34.9967239613781,32.4072802601999,92.9845692695807,161.330189382496,379.628140190913,1527.61484771325,152.541774396679,2059.78476230084,2221.11495168333
"82","NEW JERSEY",2002,8575252,3.95323659293045,15.9178995556049,162.735742343199,193.498686685826,376.10556517756,511.926646587179,1726.60815099078,416.955676637841,2655.4904742158,3031.59603939336
"83","NEW MEXICO",2002,1852044,8.20714842627929,55.4522462749265,119.111640976132,557.978104191909,740.749139869247,1060.1260013261,2883.62479509126,401.556334514731,4345.30713093209,5086.05627080134
"84","NEW YORK",2002,19134293,4.75063280362645,20.3038596722649,191.556594225875,280.036476916079,496.647563617846,400.850974739438,1662.06820393103,247.54507522175,2310.46425389221,2807.11181751006
"85","NORTH CAROLINA",2002,8305820,6.59778324114898,26.4392919663561,146.945154120845,290.988728385638,470.970957713988,1198.37656005066,2760.79905415721,299.380434442355,4258.55604865022,4729.52700636421
"86","NORTH DAKOTA",2002,633911,0.788754257301104,25.713388788016,9.1495493846928,42.5927298942596,78.2444223242695,353.835159825275,1814.292542644,160.590366786505,2328.71806925578,2406.96249158005
"87","OHIO",2002,11408699,4.61051693974922,42.1520455575171,156.643627814179,148.325413791704,351.73160410315,869.196391280022,2516.0186976622,374.863075973869,3760.07816491609,4111.80976901924
"88","OKLAHOMA",2002,3489700,4.6708886150672,45.0755079233172,84.9929793391982,369.229446657306,503.968822534888,1007.85167779465,2870.87715276385,365.991345960971,4244.72017651947,4748.68899905436
"89","OREGON",2002,3520355,2.04524827751747,35.1669078828698,77.8898719021235,177.42528807464,292.527316137151,729.926385265122,3378.2104361634,469.384479690258,4577.52130111878,4870.04861725593
"90","PENNSYLVANIA",2002,12328827,5.06130875224383,30.2624085811245,139.21032390186,227.596672416605,402.130713651834,451.056698256858,1723.12418691575,266.181040580746,2440.36192575336,2842.49263940519
"91","RHODE ISLAND",2002,1068326,3.83777985371506,36.973732737011,85.7416181951951,159.033852962485,285.586983748406,600.472140526394,2251.27910394393,456.414989432065,3308.16623390239,3593.75321765079
"92","SOUTH CAROLINA",2002,4103770,7.26161553888254,47.7365934250701,140.699893025194,626.984455756536,822.682557745683,1065.97104613563,3002.0200937187,411.012313068228,4479.00345292256,5301.68601066824
"93","SOUTH DAKOTA",2002,760437,1.44653666247171,47.4727031956625,15.3858899553809,113.224369671649,177.529499485164,398.981112176288,1596.31895870401,107.701229687666,2103.00130056796,2280.53080005313
"94","TENNESSEE",2002,5789796,7.25414159669874,39.5523434677146,162.579130594584,508.463510631463,717.84912629046,1057.86110598715,2791.29005581544,458.409933614241,4307.56109541683,5025.41022170729
